iter	RMSE
0	9.027095744
1	8.752057999
2	8.506000282
3	8.255431052
4	8.01218516
5	7.763649795
6	7.546294005
7	7.347259297
8	7.153456937
9	6.95208714
10	6.766221685
11	6.59530709
12	6.434352516
13	6.277392925
14	6.113074303
15	5.970662018
16	5.838762419
17	5.694857097
18	5.560281982
19	5.436459959
20	5.31151864
21	5.187667537
22	5.056416637
23	4.937428327
24	4.826817119
25	4.718144856
26	4.626346054
27	4.527194107
28	4.438405008
29	4.363158512
30	4.288651156
31	4.206331051
32	4.125013594
33	4.04923008
34	3.979382198
35	3.908780665
36	3.845743416
37	3.780096654
38	3.729360215
39	3.671426645
40	3.618807326
41	3.566589144
42	3.513700372
43	3.472005873
44	3.426344166
45	3.378155646
46	3.338799163
47	3.297641827
48	3.257691754
49	3.214984721
50	3.186662167
51	3.151539754
52	3.117714753
53	3.076929739
54	3.048148878
55	3.020076883
56	2.991206319
57	2.964126753
58	2.931976721
59	2.905355836
60	2.885312911
61	2.862104057
62	2.836500542
63	2.812773195
64	2.784885714
65	2.759816264
66	2.743931853
67	2.726354747
68	2.706471982
69	2.685810491
70	2.66980494
71	2.649890062
72	2.638037751
73	2.621071621
74	2.614147066
75	2.601691783
76	2.584665041
77	2.564712704
78	2.555574855
79	2.541158731
80	2.525390782
81	2.512423038
82	2.501032584
83	2.498229675
84	2.485551002
85	2.474059713
86	2.460439113
87	2.44233533
88	2.427541841
89	2.419176837
90	2.413144644
91	2.40909604
92	2.399996654
93	2.390960646
94	2.382834178
95	2.380563772
96	2.374746777
97	2.362857865
98	2.352642109
99	2.342546549
100	2.333275242
101	2.323485557
102	2.310004858
103	2.299982468
104	2.293240135
105	2.278095989
106	2.270733349
107	2.257460205
108	2.250735488
109	2.248467595
110	2.24180793
111	2.234998594
112	2.233332603
113	2.223918865
114	2.215707205
115	2.208134707
116	2.202521753
117	2.195615109
118	2.191400271
119	2.184465983
120	2.176645597
121	2.168568078
122	2.162394396
123	2.157342445
124	2.152247541
125	2.144997951
126	2.136741664
127	2.131389681
128	2.126854613
129	2.119005215
130	2.11178973
131	2.102583174
132	2.097280134
133	2.089828839
134	2.085617776
135	2.079138603
136	2.07469575
137	2.065730785
138	2.059899743
139	2.057050231
140	2.050136567
141	2.043962491
142	2.035722283
143	2.028463676
144	2.02120958
145	2.013190423
146	2.006736528
147	1.999663448
148	1.994415913
149	1.98918527
150	1.982829467
151	1.977402716
152	1.971687377
153	1.969221702
154	1.962484077
155	1.956875304
156	1.951168701
157	1.944617223
158	1.94005699
159	1.936181505
160	1.930017522
161	1.923514187
162	1.917657418
163	1.911806567
164	1.906252824
165	1.899433516
166	1.893174482
167	1.886440324
168	1.880754636
